ct,ca,tiempo,tiempo_c
2, 100, 0.812815, 0.451079
4, 100, 0.782577, 0.387326
16, 100, 0.805342, 0.386099
32, 100, 0.781496, 0.393258
64, 100, 0.775056, 0.396477
2, 100, 1.00379, 0.44408
4, 100, 0.776046, 0.381929
16, 100, 0.805081, 0.393772
32, 100, 0.780171, 0.394175
64, 100, 0.789772, 0.390884
2, 100, 0.996974, 0.443587
4, 100, 0.78264, 0.390281
16, 100, 0.784005, 0.388407
32, 100, 0.767532, 0.398151
64, 100, 0.775474, 0.381972
2, 100, 0.807925, 0.450796
4, 100, 0.779702, 0.383175
16, 100, 0.809976, 0.387894
32, 100, 0.790918, 0.402023
64, 100, 0.781881, 0.398859
2, 100, 0.804566, 0.449469
4, 100, 0.778452, 0.384749
16, 100, 0.807424, 0.390534
32, 100, 0.801523, 0.409465
64, 100, 0.803613, 0.393475
2, 100, 1.02631, 0.474372
4, 100, 0.785559, 0.380982
16, 100, 0.77124, 0.387587
32, 100, 0.78773, 0.401134
64, 100, 0.794919, 0.409274
2, 100, 1.01122, 0.62683
4, 100, 0.769781, 0.379631
16, 100, 0.79476, 0.385718
32, 100, 0.792959, 0.398334
64, 100, 0.800679, 0.396114
2, 100, 0.812702, 0.439026
4, 100, 0.774349, 0.377822
16, 100, 0.820258, 0.387247
32, 100, 0.802876, 0.403769
64, 100, 0.826937, 0.386373
2, 100, 0.802298, 0.443938
4, 100, 0.769613, 0.382301
16, 100, 0.763447, 0.38761
32, 100, 0.778293, 0.402129
64, 100, 0.79288, 0.391425
2, 100, 1.01006, 0.449138
4, 100, 0.780066, 0.387597
16, 100, 0.78728, 0.389734
32, 100, 0.832882, 0.416029
64, 100, 0.784687, 0.399702
2, 100, 0.79938, 0.437955
4, 100, 0.776247, 0.38152
16, 100, 0.799871, 0.385837
32, 100, 0.796526, 0.399628
64, 100, 0.799966, 0.393958
2, 100, 1.03179, 0.449483
4, 100, 0.78532, 0.387554
16, 100, 0.814576, 0.389997
32, 100, 0.782517, 0.404096
64, 100, 0.800008, 0.397542
2, 100, 0.996487, 0.441707
4, 100, 0.781965, 0.380479
16, 100, 0.807849, 0.387131
32, 100, 0.787745, 0.400735
64, 100, 0.811293, 0.395245
2, 100, 1.0112, 0.449256
